Time Interval (5 minutes),Price ($/kW)
139.000000,0.023190
140.000000,0.022911
141.000000,0.022617
142.000000,0.022311
143.000000,0.021999
144.000000,0.021685
145.000000,0.021375
146.000000,0.021076
147.000000,0.020794
148.000000,0.020533
149.000000,0.020300
150.000000,0.020161
151.000000,0.020054
152.000000,0.019977
153.000000,0.019930
154.000000,0.019910
155.000000,0.019914
156.000000,0.019938
157.000000,0.019978
158.000000,0.020031
159.000000,0.020092
160.000000,0.020156
161.000000,0.020220
162.000000,0.020236
163.000000,0.020246
164.000000,0.020251
165.000000,0.020250
166.000000,0.020243
167.000000,0.020232
168.000000,0.020216
169.000000,0.020198
170.000000,0.020177
171.000000,0.020157
172.000000,0.020137
173.000000,0.020120
174.000000,0.020103
175.000000,0.020092
176.000000,0.020088
177.000000,0.020092
178.000000,0.020105
179.000000,0.020127
180.000000,0.020161
181.000000,0.020204
182.000000,0.020259
183.000000,0.020323
184.000000,0.020397
185.000000,0.020480
186.000000,0.020616
187.000000,0.020756
188.000000,0.020897
189.000000,0.021034
190.000000,0.021165
191.000000,0.021287
192.000000,0.021398
193.000000,0.021497
194.000000,0.021585
195.000000,0.021663
196.000000,0.021734
197.000000,0.021800
198.000000,0.021742
199.000000,0.021699
200.000000,0.021684
201.000000,0.021714
202.000000,0.021801
203.000000,0.021961
204.000000,0.022205
205.000000,0.022545
206.000000,0.022988
207.000000,0.023542
208.000000,0.024209
209.000000,0.024990
210.000000,0.026054
211.000000,0.027211
212.000000,0.028443
213.000000,0.029726
214.000000,0.031037
215.000000,0.032350
216.000000,0.033641
217.000000,0.034885
218.000000,0.036056
219.000000,0.037134
220.000000,0.038097
221.000000,0.038930
222.000000,0.039425
223.000000,0.039778
224.000000,0.039994
225.000000,0.040085
226.000000,0.040060
227.000000,0.039936
228.000000,0.039729
229.000000,0.039458
230.000000,0.039140
231.000000,0.038795
232.000000,0.038443
233.000000,0.038100
234.000000,0.037932
235.000000,0.037796
236.000000,0.037694
237.000000,0.037629
238.000000,0.037599
239.000000,0.037604
240.000000,0.037639
241.000000,0.037700
242.000000,0.037781
243.000000,0.037878
244.000000,0.037983
245.000000,0.038090
246.000000,0.038093
247.000000,0.038093
248.000000,0.038090
249.000000,0.038087
250.000000,0.038086
251.000000,0.038088
252.000000,0.038097
253.000000,0.038114
254.000000,0.038143
255.000000,0.038185
256.000000,0.038244
257.000000,0.038320
258.000000,0.038465
259.000000,0.038626
260.000000,0.038801
261.000000,0.038987
262.000000,0.039179
263.000000,0.039375
264.000000,0.039571
265.000000,0.039761
266.000000,0.039943
267.000000,0.040112
268.000000,0.040266
269.000000,0.040400
270.000000,0.040474
271.000000,0.040526
272.000000,0.040556
273.000000,0.040567
274.000000,0.040559
275.000000,0.040534
276.000000,0.040493
277.000000,0.040438
278.000000,0.040372
279.000000,0.040296
280.000000,0.040212
281.000000,0.040120
282.000000,0.040049
283.000000,0.039972
284.000000,0.039886
285.000000,0.039791
286.000000,0.039683
287.000000,0.039563
288.000000,0.039426
